student_id,study_hours_per_week,attendance_percentage,material_prep_hours,extracurricular_hours,skill_dev_hours,projects_completed,hackathons_participated,internship_experience,coding_platform_rating,previous_gpa,final_score,productivity_index
CSE0025,11.2,75.5,0.5,8.5,8.4,2,3,1,53.6,6.03,56.3,70.5
CSE0026,15.8,93.1,6.4,8.4,10.6,2,0,1,44.8,7.0,60.1,41.5
CSE0027,6.9,100.0,8.8,0.8,15.4,1,0,0,50.8,8.74,61.6,35.5
CSE0028,17.6,98.5,9.8,7.3,2.5,2,1,1,35.7,7.67,66.6,31.3
CSE0029,10.8,74.1,6.0,4.8,0.2,4,1,1,62.8,7.34,62.3,41.6
CSE0030,13.0,66.6,8.1,3.3,7.1,4,3,0,76.5,7.44,65.4,52.1
CSE0031,10.8,81.7,0.0,5.5,1.8,6,0,0,38.7,6.77,48.8,24.0
CSE0032,28.0,58.8,5.4,7.8,7.9,1,2,0,80.6,9.4,81.5,77.7
CSE0033,14.9,83.9,9.8,6.5,12.5,4,1,0,57.3,6.31,68.7,34.2
CSE0034,7.6,78.2,4.1,2.4,5.5,0,2,0,59.8,7.43,55.6,51.8
CSE0035,20.8,74.4,8.2,7.2,2.9,2,0,0,21.0,7.33,49.5,41.2
CSE0036,6.5,60.9,9.8,3.1,10.3,2,1,1,18.9,8.31,40.2,36.7
CSE0037,16.5,86.2,6.6,5.7,14.3,2,2,0,57.9,8.41,64.0,44.9
CSE0038,1.3,73.6,8.7,4.1,1.5,1,1,0,70.8,7.16,46.1,21.1
CSE0039,5.7,66.0,4.1,4.3,14.1,3,0,0,41.6,7.52,54.5,32.3
CSE0040,16.4,45.5,7.2,7.3,14.1,5,3,0,88.4,7.56,57.4,82.4
CSE0041,20.2,79.7,10.4,1.9,14.8,1,0,0,69.7,4.7,74.9,51.5
CSE0042,16.2,100.0,8.6,10.8,16.1,2,0,0,36.8,5.45,67.3,35.1
CSE0043,14.2,99.9,5.7,0.0,21.0,5,2,1,55.6,6.53,84.5,76.2
CSE0044,12.9,74.5,8.9,3.2,8.2,2,0,0,100.0,6.58,59.3,72.3
CSE0045,4.7,72.8,10.9,6.1,10.5,2,0,0,30.1,5.88,51.5,26.9
CSE0046,10.0,85.6,0.0,6.8,7.9,4,1,0,65.6,8.02,61.6,51.8
CSE0047,11.8,68.0,12.6,4.7,10.0,2,5,1,48.5,7.2,72.8,46.2
CSE0048,22.4,83.6,6.7,4.8,17.7,2,1,1,69.1,6.96,76.5,62.4
CSE0049,17.4,89.2,9.7,6.2,3.3,3,0,0,80.3,5.82,69.3,56.3
CSE0050,2.7,94.7,12.8,4.3,5.7,4,0,0,47.3,7.15,63.5,36.8
CSE0051,17.3,78.8,2.5,9.2,16.9,4,1,0,77.4,4.31,62.7,62.7
CSE0052,12.3,77.6,5.2,7.5,15.1,4,0,0,99.4,7.02,70.2,64.7
CSE0053,10.3,69.5,6.8,7.6,8.2,5,2,1,56.3,7.27,54.0,54.0
CSE0054,19.3,70.1,4.9,2.1,14.3,2,1,0,70.7,7.47,71.5,53.8
CSE0055,22.2,77.3,14.9,4.8,11.7,0,0,1,43.2,5.48,78.8,48.8
CSE0056,21.5,84.4,4.6,4.1,17.5,3,1,0,55.4,7.45,66.5,38.9
CSE0057,9.1,91.0,5.8,2.0,10.4,3,4,0,51.5,6.05,62.3,51.8
CSE0058,12.8,70.4,8.8,6.1,15.1,2,0,1,70.9,6.31,69.6,60.3
CSE0059,17.3,97.9,3.2,3.4,23.2,3,1,0,79.1,7.99,79.0,62.4
CSE0060,21.8,76.7,6.4,7.0,13.0,5,0,1,52.8,9.42,78.8,55.3
CSE0061,11.6,79.7,9.3,1.8,10.2,1,0,0,85.7,7.26,61.2,45.0
CSE0062,13.7,71.0,6.7,10.2,13.6,2,1,0,85.6,6.3,62.7,58.4
CSE0063,7.3,50.9,7.6,2.3,8.2,4,0,1,71.9,7.41,55.4,50.8
CSE0064,6.6,90.6,5.9,5.7,21.9,2,2,0,44.7,8.23,65.9,51.9
CSE0065,20.7,88.8,1.9,7.4,10.9,0,1,0,42.8,7.88,59.0,23.7
CSE0066,24.5,76.6,9.3,3.3,8.6,5,0,0,38.8,10.0,75.2,52.2
CSE0067,14.5,80.8,15.0,7.6,5.8,0,0,1,74.0,6.41,74.9,46.5
CSE0068,22.0,86.2,8.1,1.3,15.5,2,2,0,30.8,7.48,69.4,64.9
CSE0069,17.5,61.2,8.9,9.4,14.3,3,2,0,68.5,8.9,65.5,52.8
CSE0070,10.5,73.7,10.8,5.0,7.5,2,1,0,33.4,8.83,58.4,25.9
CSE0071,17.5,89.5,2.9,3.2,12.9,6,0,0,71.5,5.05,63.9,57.5
CSE0072,25.8,64.9,14.8,4.1,2.5,5,3,1,55.3,7.2,71.0,67.5
CSE0073,14.7,83.5,8.8,7.4,10.9,3,2,0,81.7,8.83,75.5,45.4
CSE0074,26.0,63.7,14.5,3.2,12.3,4,2,1,77.8,10.0,84.1,66.0
CSE0075,1.0,85.6,5.1,2.8,18.5,5,3,0,83.7,7.97,63.7,72.5
CSE0076,20.8,79.6,15.3,4.3,6.1,2,2,1,84.2,6.8,78.8,56.6
CSE0077,15.6,60.6,11.1,1.5,3.6,2,2,1,57.9,6.09,52.5,62.1
CSE0078,12.9,94.0,10.2,10.5,5.5,4,3,1,31.8,9.64,64.8,47.3
CSE0079,15.6,71.2,8.9,3.3,3.3,4,1,0,33.9,8.0,64.2,28.3
CSE0080,1.1,70.3,7.0,7.5,16.7,7,2,0,13.3,6.27,42.2,47.9
CSE0081,13.5,82.4,12.8,5.6,17.7,6,0,1,33.3,6.98,66.5,67.6
CSE0082,17.5,93.8,8.6,2.0,11.6,4,1,0,56.4,7.54,63.0,55.6
CSE0083,25.3,67.8,0.1,5.0,16.1,3,2,0,43.8,7.8,67.5,69.8
CSE0084,11.4,80.7,3.5,7.4,10.7,5,2,1,51.4,6.21,66.8,74.4
CSE0085,9.3,85.1,7.3,4.4,9.5,2,0,0,64.9,6.52,59.2,34.3
CSE0086,11.5,88.3,9.2,8.6,8.3,6,3,1,48.9,5.38,82.1,70.8
CSE0087,21.4,82.1,7.8,8.1,8.4,2,0,0,32.6,8.34,72.8,24.6
CSE0088,17.3,75.6,12.9,7.8,2.3,6,0,1,53.9,6.82,64.2,56.0
CSE0089,11.3,70.1,0.2,3.6,11.3,3,0,0,37.0,7.71,46.6,35.7
CSE0090,18.6,81.0,8.6,1.8,9.8,2,1,0,49.6,8.76,83.7,56.2
CSE0091,15.7,67.1,0.7,3.2,13.7,5,1,1,81.9,7.44,74.9,80.0
CSE0092,21.8,44.9,11.0,5.6,10.5,3,2,0,49.6,7.08,68.2,59.6
CSE0093,10.1,85.2,7.6,6.6,9.2,2,1,1,90.4,7.41,69.1,64.8
CSE0094,12.7,90.8,9.7,0.0,5.6,2,0,1,83.6,7.27,69.7,56.0
CSE0095,12.3,51.6,4.5,5.0,10.4,1,1,0,43.4,8.57,45.4,39.6
CSE0096,4.8,67.9,13.1,5.5,13.7,4,3,1,32.8,7.54,63.4,50.1
CSE0097,17.1,87.4,12.2,4.2,4.3,2,1,0,53.9,6.6,66.1,56.1
CSE0098,16.8,100.0,10.3,8.9,10.4,3,2,1,78.1,8.35,77.5,83.3
CSE0099,15.0,80.2,7.5,6.3,11.2,2,3,0,45.2,8.55,65.4,49.9
CSE0100,13.4,71.3,10.3,8.9,6.4,3,2,1,73.2,5.73,74.0,64.1
CSE0101,5.1,77.8,5.2,4.4,7.1,2,1,0,79.2,8.89,58.1,48.2
CSE0102,12.1,96.5,11.4,7.8,11.2,0,0,0,39.5,7.6,74.4,19.3
CSE0103,12.6,72.2,14.6,9.9,4.3,2,4,0,41.5,7.51,55.3,45.6
CSE0104,9.4,70.4,12.3,8.9,11.7,3,0,0,69.3,8.31,61.7,65.7
CSE0105,13.9,74.2,5.1,1.7,5.5,1,1,0,58.0,6.58,47.5,32.9
CSE0106,17.8,68.6,9.4,4.2,15.3,2,2,0,41.3,8.25,61.6,69.7
CSE0107,28.2,81.5,2.8,4.0,21.7,3,0,0,48.0,6.79,70.9,69.0
CSE0108,16.2,99.5,10.3,6.5,5.7,1,3,0,53.6,5.58,69.1,52.9
CSE0109,16.8,83.9,9.8,7.1,12.7,4,1,0,23.7,6.1,66.2,48.0
CSE0110,14.5,77.0,0.5,2.5,6.4,1,0,0,70.3,7.82,53.9,34.0
CSE0111,1.6,76.5,3.4,5.2,15.2,5,1,0,45.4,6.16,40.0,42.5
CSE0112,14.8,61.2,6.9,0.0,3.7,1,0,0,0.0,8.97,56.7,26.5
CSE0113,15.4,90.6,6.8,9.3,12.4,1,1,1,54.5,8.51,70.1,47.9
CSE0114,32.2,79.1,3.2,3.5,5.6,5,0,1,40.2,8.67,72.2,63.4
CSE0115,13.7,77.8,9.6,5.2,9.0,0,2,0,88.8,7.34,68.3,44.5
CSE0116,17.1,100.0,9.0,4.1,4.8,2,1,1,43.3,7.48,71.1,32.4
CSE0117,14.8,83.6,7.2,8.4,14.1,2,1,0,33.0,5.89,59.4,61.0
CSE0118,6.8,71.0,5.0,0.0,5.8,4,1,1,65.2,8.3,60.1,48.1
CSE0119,23.0,74.9,12.2,5.0,12.8,2,1,0,41.8,7.62,65.5,43.1
CSE0120,20.3,93.8,14.6,4.7,8.3,4,1,0,39.4,7.82,79.5,58.7
CSE0121,20.5,81.4,6.1,3.6,9.4,5,0,1,65.2,9.06,71.2,70.9
CSE0122,8.6,62.7,5.6,10.2,10.7,2,1,1,34.2,6.53,50.0,51.9
CSE0123,24.8,91.0,10.0,2.3,6.2,3,1,0,25.9,7.06,73.9,33.3
CSE0124,5.2,72.0,6.6,7.3,11.1,4,2,0,89.5,7.56,69.6,60.5
CSE0125,19.1,100.0,7.4,6.1,17.7,5,0,1,66.6,6.17,88.1,69.4
CSE0126,30.3,93.0,11.0,8.8,6.1,2,3,1,49.7,6.99,89.8,70.3
CSE0127,8.1,74.6,0.4,3.0,15.9,4,1,1,54.9,7.74,59.4,49.5
CSE0128,11.0,95.4,13.3,2.8,17.5,4,0,0,65.1,6.84,63.3,54.4
CSE0129,15.7,80.8,8.3,8.3,5.9,2,1,0,74.5,8.64,76.4,55.5
CSE0130,11.5,90.2,6.4,6.3,2.7,3,1,0,39.9,5.54,62.9,48.1
CSE0131,4.1,85.8,7.6,0.4,11.5,0,3,0,62.3,8.44,56.4,51.8
CSE0132,15.5,69.8,7.8,3.4,7.3,7,2,0,44.9,7.93,72.3,38.6
CSE0133,7.6,72.3,1.1,6.2,19.3,0,0,1,51.2,6.57,52.5,44.1
CSE0134,18.3,92.4,14.0,7.5,10.2,0,0,0,58.2,6.18,76.4,35.3
CSE0135,8.6,76.0,8.2,3.0,6.0,1,2,1,54.9,4.91,51.8,50.2
CSE0136,25.8,75.2,9.8,0.0,4.3,1,2,0,69.7,6.33,80.8,61.2
CSE0137,9.5,68.5,11.8,6.6,15.4,0,1,0,64.7,8.35,67.2,49.3
CSE0138,12.7,85.1,3.9,1.3,7.1,1,0,0,24.8,7.14,62.4,22.0
CSE0139,20.7,100.0,9.9,0.0,10.2,5,0,0,27.8,8.48,71.6,39.8
CSE0140,6.4,67.2,6.9,0.0,14.8,0,0,1,47.6,6.52,54.1,39.2
CSE0141,16.6,80.3,11.4,7.4,7.6,6,0,0,91.6,7.98,70.5,58.8
CSE0142,24.1,96.9,0.0,5.4,9.8,3,1,0,38.0,6.41,72.8,35.8
CSE0143,3.7,79.0,7.6,4.3,9.9,4,0,0,50.8,6.14,57.4,19.3
CSE0144,16.3,85.4,5.6,9.2,13.4,0,0,0,44.3,7.08,74.9,52.9
CSE0145,16.8,67.3,9.7,6.9,13.0,7,2,1,43.9,6.47,74.4,68.8
CSE0146,20.5,85.1,9.9,9.8,8.9,4,0,0,58.6,5.5,72.9,56.6
CSE0147,6.3,77.8,5.2,0.8,10.3,0,1,1,83.0,7.0,55.9,62.8
CSE0148,5.8,91.8,5.2,4.9,8.1,2,0,1,64.1,7.32,62.5,32.8
CSE0149,18.7,94.2,7.6,0.1,2.6,8,5,0,38.9,8.6,76.2,42.8
CSE0150,17.1,100.0,4.4,4.3,11.3,3,1,0,100.0,8.23,78.4,70.6
CSE0151,16.8,87.0,11.4,4.3,19.5,2,1,1,56.6,8.54,79.3,62.2
CSE0152,17.4,83.9,6.5,6.9,5.6,3,1,1,43.5,7.99,66.0,31.6
CSE0153,10.2,82.3,0.0,5.1,6.1,4,1,0,83.2,7.57,61.5,58.7
CSE0154,16.6,75.8,6.5,6.9,5.6,1,1,0,45.6,5.85,54.9,36.1
CSE0155,17.1,84.1,3.8,7.1,13.6,5,3,0,88.3,7.36,75.0,68.9
CSE0156,10.0,76.5,1.5,11.5,12.2,1,1,0,37.6,7.86,61.0,37.5
CSE0157,28.1,82.0,3.1,4.1,9.2,5,0,0,83.6,8.8,81.5,42.8
CSE0158,18.3,95.8,8.4,2.2,5.4,2,2,0,59.0,7.95,73.2,42.7
CSE0159,6.7,67.9,13.3,5.7,10.5,1,0,0,80.8,8.56,53.2,40.4
CSE0160,19.6,93.7,9.3,2.6,2.2,0,1,0,93.0,6.06,70.9,57.6
CSE0161,8.2,95.8,5.6,9.4,10.7,2,1,0,32.3,6.84,60.7,35.7
CSE0162,20.5,78.6,9.8,4.2,14.4,1,1,1,80.5,7.67,74.8,70.8
CSE0163,23.1,54.5,6.2,3.3,3.7,2,0,0,26.8,8.48,69.2,7.6
CSE0164,9.3,72.7,5.2,3.6,2.3,0,2,1,34.1,7.04,38.8,25.3
CSE0165,21.7,95.6,3.4,7.2,17.9,3,0,0,38.9,7.11,76.0,55.1
CSE0166,17.9,79.7,1.0,4.5,6.9,6,0,1,65.1,7.96,73.3,55.3
CSE0167,20.8,68.0,6.4,3.1,15.7,2,2,0,55.7,5.96,69.6,64.5
CSE0168,28.3,73.9,8.6,10.0,9.2,0,3,0,51.7,8.97,78.3,41.0
CSE0169,13.3,90.1,7.6,2.4,9.2,2,0,0,57.9,6.23,64.2,48.1
CSE0170,9.7,86.6,6.3,5.1,12.2,1,0,0,66.8,5.09,61.3,38.4
CSE0171,8.8,77.1,4.2,7.0,5.6,6,3,1,68.4,7.21,62.1,57.9
CSE0172,9.3,75.6,10.4,0.1,10.7,4,0,0,76.9,9.07,68.1,58.9
CSE0173,14.5,75.3,2.7,6.4,8.1,1,0,1,91.4,7.85,64.3,69.6
CSE0174,17.4,68.9,11.1,1.8,3.4,2,1,0,54.6,8.03,57.2,50.7
CSE0175,16.9,99.4,4.0,7.5,11.7,5,0,0,44.6,7.25,73.3,67.7
CSE0176,20.8,76.1,5.0,2.1,8.7,2,1,0,67.3,7.03,63.5,63.6
CSE0177,15.1,94.6,2.1,7.1,9.2,3,1,1,32.1,5.5,53.6,37.7
CSE0178,25.2,98.3,6.0,8.3,3.9,2,3,0,41.4,4.71,66.5,52.6
CSE0179,13.1,92.0,11.9,7.6,18.0,1,4,1,75.0,7.42,75.7,70.0
CSE0180,34.0,74.8,10.1,5.8,14.4,5,1,0,52.5,8.64,92.7,84.7
CSE0181,19.4,84.8,11.9,4.3,14.8,3,3,1,30.8,7.58,77.6,66.8
CSE0182,9.0,79.7,10.1,3.3,8.5,3,1,0,25.2,7.89,65.0,29.9
CSE0183,7.5,69.2,3.6,9.4,1.4,2,1,0,56.0,8.94,49.3,46.9
CSE0184,18.4,83.9,6.7,2.9,19.8,5,1,0,77.8,7.56,82.8,57.2
CSE0185,13.4,65.9,4.9,1.9,9.7,2,0,0,77.6,7.07,74.1,51.1
CSE0186,20.0,94.3,13.3,7.0,6.3,2,2,0,57.2,6.3,74.7,43.1
CSE0187,18.3,74.4,3.2,2.6,12.1,2,1,0,95.2,9.42,77.6,47.8
CSE0188,14.5,82.4,11.6,2.1,15.8,0,2,0,52.9,7.78,72.0,55.2
CSE0189,9.1,83.4,11.6,0.7,9.9,3,1,0,52.2,6.16,52.3,50.0
CSE0190,4.4,76.9,15.3,3.6,16.4,5,3,0,3.7,5.91,61.1,41.9
CSE0191,11.9,87.0,6.4,4.8,15.4,2,1,0,46.1,8.58,67.5,43.6
CSE0192,21.0,74.3,10.8,5.7,4.6,2,2,0,72.0,6.06,67.0,44.2
CSE0193,16.5,90.5,17.1,7.9,6.6,4,1,1,86.3,9.24,79.4,55.7
CSE0194,6.3,63.8,5.5,6.6,14.8,5,0,1,38.4,4.17,54.9,37.7
CSE0195,16.2,81.5,1.9,4.4,0.0,4,0,0,64.2,8.76,57.0,41.0
CSE0196,17.7,100.0,0.5,4.4,9.3,2,0,1,75.9,7.74,83.0,66.4
CSE0197,8.8,68.0,10.9,6.5,2.8,2,0,1,55.2,7.33,57.0,49.9
CSE0198,16.1,71.9,0.5,8.8,7.6,2,1,0,9.3,7.01,45.1,14.9
CSE0199,15.4,86.2,6.5,5.4,8.5,2,0,0,59.9,9.28,64.5,37.8
CSE0200,7.0,82.2,9.7,3.6,8.2,2,1,1,70.2,7.98,62.6,43.5
CSE0201,17.5,84.2,8.7,2.0,7.2,3,1,0,36.1,6.21,75.5,15.2
CSE0202,18.9,85.9,9.7,0.7,4.5,5,2,1,49.9,5.31,64.8,59.3
CSE0203,22.6,87.6,8.9,7.0,21.5,3,2,1,31.9,7.4,79.6,59.5
CSE0204,22.4,93.3,13.1,6.7,19.3,3,0,0,3.6,7.2,70.1,36.8
CSE0205,5.4,84.9,4.2,6.7,4.2,5,1,0,75.5,5.53,58.5,63.7
CSE0206,8.4,77.1,5.3,4.6,17.9,4,1,0,54.9,7.14,59.2,53.1
CSE0207,18.6,88.1,4.9,9.2,8.0,1,0,0,87.0,6.57,61.3,52.1
CSE0208,18.6,100.0,11.3,3.5,10.6,2,1,0,72.1,7.21,74.6,60.0
CSE0209,18.6,78.4,11.6,7.9,9.7,1,0,0,47.9,8.0,65.2,51.9
CSE0210,42.0,68.3,9.8,4.9,6.7,5,0,0,53.3,8.84,84.2,63.6
CSE0211,19.0,93.3,12.7,3.2,14.9,0,0,0,66.3,8.2,71.7,55.0
CSE0212,22.9,78.6,3.3,6.8,10.6,5,0,0,74.3,6.41,77.6,60.6
CSE0213,21.7,53.9,14.7,6.2,7.6,4,1,0,61.5,7.61,68.3,54.6
CSE0214,19.6,90.2,14.1,6.1,3.5,3,0,0,77.1,7.27,67.2,52.6
CSE0215,12.8,73.6,10.9,5.2,5.5,3,0,0,49.1,5.73,54.1,31.3
CSE0216,20.3,78.9,15.1,4.9,1.8,3,3,0,35.1,7.64,70.4,39.1
CSE0217,9.6,84.0,1.4,12.2,10.1,1,2,1,53.7,9.24,57.1,66.2
CSE0218,13.3,82.3,5.9,8.6,4.0,1,5,0,59.1,7.24,73.6,75.1
CSE0219,11.6,88.5,5.1,7.2,8.7,2,1,0,31.0,5.45,59.5,50.7
CSE0220,15.6,74.8,10.9,5.3,16.9,3,1,1,28.3,7.23,76.0,36.3
CSE0221,31.2,86.2,3.8,8.0,16.0,3,1,0,63.9,5.86,81.4,53.8
CSE0222,1.9,76.9,11.0,6.6,9.8,3,1,1,46.9,8.15,47.4,32.3
CSE0223,19.8,88.9,13.5,5.1,9.6,4,1,0,51.7,7.78,83.8,52.7
CSE0224,3.7,87.4,10.8,4.1,19.4,5,0,1,47.8,7.01,60.7,24.6
CSE0225,11.7,68.8,9.1,4.8,12.6,2,1,1,85.4,6.84,62.4,57.1
CSE0226,22.6,93.0,4.0,0.0,8.4,2,1,0,80.2,6.97,73.4,69.4
CSE0227,15.4,73.6,4.6,5.6,2.9,3,0,0,30.3,7.21,61.8,40.2
CSE0228,7.5,89.7,13.0,3.5,12.0,2,2,1,44.3,6.35,70.2,42.2
CSE0229,10.0,84.4,11.1,9.8,14.1,4,1,1,72.0,5.67,74.5,60.3
CSE0230,19.8,100.0,7.8,5.1,6.8,5,0,1,67.0,8.45,77.7,63.6
CSE0231,9.9,77.3,6.3,1.4,11.5,4,1,0,54.2,6.78,58.0,54.9
CSE0232,16.5,75.8,0.0,4.9,8.2,4,2,1,32.2,7.38,64.4,44.2
CSE0233,15.3,79.8,3.7,1.9,9.1,5,1,0,41.3,7.51,62.3,42.6
CSE0234,10.4,76.4,15.6,6.4,0.0,2,1,0,44.7,7.55,63.3,28.1
CSE0235,30.0,89.6,2.9,5.9,8.9,5,0,0,60.5,5.91,80.0,46.5
CSE0236,19.4,60.6,8.8,7.9,14.8,1,2,0,89.1,5.36,71.0,66.5
CSE0237,1.0,67.4,12.0,2.6,6.8,2,1,1,41.3,6.55,36.1,31.7
CSE0238,16.3,67.2,3.0,5.1,10.3,3,2,0,34.5,7.64,60.7,33.2
CSE0239,10.4,91.4,8.7,0.9,6.2,3,0,0,52.8,6.4,58.3,42.5
CSE0240,21.0,100.0,11.8,7.1,11.8,3,1,1,75.6,6.81,83.3,71.3
CSE0241,9.5,78.7,8.0,6.6,8.9,2,1,1,26.1,9.54,57.8,43.8
CSE0242,14.2,78.0,19.5,6.5,5.3,5,1,0,84.1,5.17,63.5,52.7
CSE0243,18.5,80.8,1.3,5.0,16.7,3,1,0,51.6,6.37,68.1,35.5
CSE0244,21.1,93.9,12.2,6.2,14.6,2,3,0,40.3,9.29,79.2,59.7
CSE0245,6.6,68.9,7.3,9.8,7.0,3,2,0,23.0,7.15,54.6,29.2
CSE0246,12.7,82.9,11.1,4.1,12.5,6,0,0,69.1,6.42,65.2,47.7
CSE0247,11.7,91.7,9.8,5.4,12.7,8,4,0,51.6,8.49,86.3,55.2
CSE0248,10.4,86.0,5.1,1.7,13.2,3,2,0,58.4,7.26,69.5,48.5
CSE0249,27.4,82.3,8.9,2.4,1.5,0,2,1,37.0,6.82,71.2,58.0
CSE0250,17.8,92.0,0.6,5.3,15.0,5,2,0,48.6,7.41,70.3,53.9
CSE0251,6.2,47.6,10.4,8.3,7.2,3,1,0,45.3,6.48,53.0,29.3
CSE0252,21.4,88.1,9.2,4.2,8.2,4,3,0,53.0,6.08,75.5,64.2
CSE0253,29.9,72.2,10.6,4.3,23.2,3,0,0,41.6,7.08,80.5,59.5
CSE0254,22.2,58.0,12.2,3.8,11.5,2,0,0,24.3,6.09,65.8,16.3
CSE0255,4.4,86.1,9.5,3.4,8.1,3,1,0,100.0,7.21,71.4,63.2
CSE0256,11.6,96.5,8.6,5.9,0.0,1,1,0,27.7,7.59,50.0,45.5
CSE0257,23.9,78.4,4.5,0.5,16.9,3,1,0,58.6,8.14,69.0,33.0
CSE0258,10.0,91.4,5.2,8.8,3.3,0,1,0,19.6,8.44,49.5,12.2
CSE0259,18.1,99.3,12.7,3.0,5.0,1,0,0,15.1,6.75,54.1,5.0
CSE0260,20.4,95.8,13.7,7.2,8.3,3,1,1,57.0,7.75,79.4,56.1
CSE0261,8.5,99.7,7.0,1.2,17.1,1,1,0,58.5,7.74,68.9,54.8
CSE0262,14.6,88.9,8.2,7.0,13.9,0,5,0,80.2,7.56,75.0,70.5
CSE0263,1.0,80.9,4.4,7.0,9.2,0,1,0,63.0,6.67,45.8,51.5
CSE0264,7.8,60.8,12.7,6.2,11.5,4,2,1,52.0,6.07,67.1,62.8
CSE0265,13.2,77.0,10.7,2.0,7.0,3,2,1,36.0,7.75,65.9,60.4
CSE0266,6.3,69.9,15.8,5.7,10.7,4,2,0,85.0,5.32,65.3,71.8
CSE0267,26.4,100.0,4.5,1.5,10.4,7,2,1,73.6,6.91,93.4,71.9
CSE0268,5.0,77.9,6.5,4.2,14.8,3,1,0,30.1,4.39,48.5,37.2
CSE0269,11.9,81.5,8.9,8.1,14.8,1,2,1,55.8,5.73,76.5,48.5
CSE0270,15.9,86.6,10.6,7.4,12.5,3,0,0,57.9,6.24,65.0,47.6
CSE0271,25.1,80.5,7.1,5.0,8.2,3,1,0,48.1,8.41,84.2,50.7
CSE0272,4.9,100.0,4.5,2.1,13.7,2,2,0,70.4,7.96,59.2,50.4
CSE0273,23.1,72.5,11.5,6.9,9.5,7,1,0,71.6,6.59,80.3,80.1
CSE0274,15.1,82.3,10.9,5.1,4.6,2,3,0,51.2,8.0,63.8,44.8
CSE0275,8.1,71.1,4.3,0.0,8.0,4,4,0,49.4,8.18,66.1,41.4
CSE0276,18.2,64.2,13.4,7.3,10.4,3,2,0,85.0,7.02,70.1,58.3
CSE0277,16.4,72.7,12.7,4.9,14.6,2,1,0,73.7,5.68,69.4,63.8
CSE0278,10.8,79.6,8.5,8.6,9.1,0,0,0,56.4,6.97,53.5,25.8
CSE0279,15.5,74.8,8.3,1.7,4.0,7,0,1,22.4,7.09,67.5,37.0
CSE0280,12.3,71.7,10.2,0.0,10.3,5,0,1,61.9,5.84,60.1,64.4
CSE0281,15.8,63.1,4.6,5.8,10.6,5,1,1,69.0,7.6,77.0,66.2
CSE0282,19.6,79.0,8.1,5.9,10.9,1,0,1,0.0,7.51,56.1,28.4
CSE0283,26.1,61.9,0.0,0.0,14.6,4,0,1,60.0,7.69,63.8,60.0
CSE0284,6.3,89.1,11.5,2.1,15.1,4,0,0,46.7,7.51,68.2,31.4
CSE0285,29.9,81.0,1.8,13.3,7.0,2,0,0,50.6,8.0,69.0,44.3
CSE0286,1.3,62.5,14.0,4.1,6.9,1,4,0,36.9,7.0,50.7,35.6
CSE0287,13.9,76.3,6.7,7.2,4.8,4,0,0,52.0,7.42,58.5,45.1
