student_id,department,semester,gender,hostel_or_dayscholar,study_time_preference,learning_style,sleep_quality,stress_level,internet_access_quality,part_time_job,mentor_support,placement_status,study_minutes_per_day,material_prep_minutes_per_week,extracurricular_minutes_per_week,skill_dev_minutes_per_week,attendance_percentage,previous_year_score,previous_semester_gpa,backlogs_count,internal_marks,projects_completed,hackathons_participated,internships_completed,certifications_count,coding_problems_solved,coding_platform_rating,productivity_index,final_score,performance_category
STU0057,CSE,2,Male,Day Scholar,Afternoon,Visual,Poor,High,Good,No,No,Not Started,216,389,155,352,71.9,68.1,5.56,0,34,0,0,0,1.0,131,860,46.56,69.38,Average
STU0058,CSE,1,Male,Day Scholar,Morning,Auditory,Average,Medium,Poor,No,No,Not Started,192,292,81,57,60.5,59.7,6.7,1,34,0,0,0,0.0,7,1161,51.27,71.81,Good
STU0059,CSE,1,Male,Day Scholar,Night,Kinesthetic,Good,Medium,Good,Yes,No,Not Started,131,326,82,163,71.1,66.1,6.07,2,32,1,0,0,0.0,14,1185,64.87,65.21,Average
STU0060,CSE,3,Female,Hostel,Night,Auditory,Average,Low,Good,No,No,Not Started,157,287,360,485,67.8,67.1,6.74,1,34,4,0,0,1.0,174,1017,79.38,72.99,Good
STU0061,CSE,6,Female,Day Scholar,Night,Kinesthetic,Average,Medium,Average,No,No,Not Started,0,405,132,338,100.0,80.3,7.3,2,37,10,1,1,3.0,152,901,72.63,85.07,Excellent
STU0062,CSE,7,Female,Hostel,Night,Auditory,Poor,Medium,Good,No,Yes,In Progress,130,457,0,22,81.0,68.7,7.42,0,29,9,1,1,4.0,0,1150,64.37,76.02,Good
STU0063,IT,3,Male,Day Scholar,Night,Kinesthetic,Average,Medium,Poor,No,No,Not Started,245,160,0,527,90.8,69.8,6.82,1,37,6,0,1,0.0,203,1246,71.09,80.44,Good
STU0064,CSE,1,Female,Day Scholar,Morning,Kinesthetic,Good,Low,Poor,No,Yes,Not Started,195,216,143,620,70.7,70.3,7.16,0,38,1,0,0,0.0,155,1141,76.47,78.06,Good
STU0065,CSE,4,Male,Hostel,Night,Auditory,Average,Low,Average,No,No,Not Started,271,246,0,108,85.2,67.8,6.69,2,36,3,0,1,1.0,70,1066,71.55,72.59,Good
STU0066,CSE-AIML,7,Female,Day Scholar,Night,Visual,Average,Medium,,No,No,In Progress,347,157,56,292,83.3,74.3,7.93,0,36,4,2,0,2.0,308,990,81.2,82.08,Good
STU0067,CSE,4,Female,Day Scholar,Night,Kinesthetic,Good,High,Poor,No,Yes,Not Started,105,196,200,255,55.0,61.1,6.83,1,37,5,0,0,7.0,162,1112,62.32,73.41,Good
STU0068,IT,2,Male,Hostel,Night,Visual,Good,Medium,Good,No,Yes,Not Started,99,231,101,73,72.7,58.7,5.62,3,31,2,1,0,1.0,124,675,73.19,64.82,Average
STU0069,CSE,5,Female,Hostel,Night,Visual,Average,Medium,,No,No,Not Started,265,242,190,292,65.7,65.6,6.95,1,34,3,1,0,2.0,108,1036,67.39,72.37,Good
STU0070,ECE,2,Male,Hostel,Night,Visual,Average,Medium,Good,No,No,Not Started,166,189,242,375,65.3,62.2,6.0,2,33,2,1,0,0.0,0,1178,69.8,62.68,Average
STU0071,IT,2,Male,Day Scholar,Night,Visual,Good,Low,Average,No,Yes,Not Started,163,176,188,342,80.1,62.9,6.77,0,31,1,0,0,1.0,0,1257,83.39,76.37,Good
STU0072,CSE,5,Male,Day Scholar,Night,Visual,Poor,High,Good,No,Yes,Not Started,423,246,25,701,75.7,85.3,8.07,0,39,4,1,1,2.0,339,1278,87.75,88.19,Excellent
STU0073,CSE,6,Male,Hostel,Night,Visual,Average,Medium,Average,No,Yes,In Progress,292,143,201,102,89.5,74.1,7.48,0,35,3,3,5,6.0,30,968,73.17,84.25,Good
STU0074,IT,1,Female,Hostel,Morning,Kinesthetic,Good,Low,Average,Yes,No,Not Started,194,283,199,73,67.6,60.5,5.91,1,30,0,1,0,1.0,24,1053,67.02,64.33,Average
STU0075,CSE-DS,4,Male,Hostel,Afternoon,Visual,Good,Low,Average,No,No,Not Started,226,91,113,518,85.4,82.3,8.68,0,43,4,2,1,5.0,252,1095,88.89,88.44,Excellent
STU0076,CSE-DS,2,Male,Hostel,Night,Kinesthetic,Average,High,Poor,No,Yes,Not Started,199,237,28,492,91.7,81.5,7.68,0,38,1,1,0,1.0,188,1251,66.93,80.93,Good
STU0077,IT,5,Female,Hostel,Morning,Kinesthetic,Average,Medium,Average,Yes,No,Not Started,61,439,122,0,64.2,61.1,5.92,5,33,5,0,1,1.0,0,1098,57.19,61.6,Average
STU0078,CSE,3,Female,Hostel,Morning,Kinesthetic,Poor,Low,Good,No,No,Not Started,211,210,133,124,78.5,63.4,6.53,0,34,0,1,0,3.0,39,850,54.42,75.91,Good
STU0079,CSE,2,Female,Hostel,Morning,Auditory,Average,Medium,Poor,No,Yes,Not Started,167,346,1,0,96.2,82.1,8.47,0,37,0,0,0,0.0,50,907,48.04,82.68,Good
STU0080,CSE,4,Female,Hostel,Night,Visual,Good,Low,Average,No,Yes,Not Started,121,104,206,501,84.0,67.7,6.42,1,37,1,1,0,2.0,171,1222,78.6,74.11,Good
STU0081,IT,1,Female,Day Scholar,Night,Auditory,Average,Low,Good,No,No,Not Started,145,189,80,487,66.6,61.9,6.51,0,27,0,0,0,0.0,94,920,71.07,68.67,Average
STU0082,CSE-DS,2,Male,Day Scholar,Afternoon,Visual,Poor,High,Good,Yes,No,Not Started,67,318,116,289,66.3,58.8,7.32,1,28,3,0,0,0.0,13,673,43.38,65.17,Average
STU0083,CSE,2,Male,Day Scholar,Morning,Auditory,Average,Low,Good,No,Yes,Not Started,41,0,156,524,81.3,68.2,6.82,0,32,1,3,0,1.0,63,977,70.06,75.35,Good
STU0084,CSE,6,Male,Day Scholar,Night,Kinesthetic,Poor,High,Good,No,No,Not Started,117,314,138,435,89.4,67.1,5.89,0,33,5,3,1,4.0,206,1251,62.26,77.78,Good
STU0085,CSE,8,Male,Hostel,Afternoon,Auditory,Good,Medium,Good,No,No,In Progress,104,230,108,374,89.3,68.1,6.87,0,33,7,6,2,3.0,350,1073,81.3,77.4,Good
STU0086,CSE,5,Female,Hostel,Morning,Kinesthetic,Good,Low,Good,No,Yes,Not Started,352,198,21,198,86.7,70.5,7.41,0,31,6,1,0,1.0,147,1209,99.17,81.28,Good
STU0087,CSE-DS,3,Male,Hostel,Night,Auditory,Poor,High,Good,No,Yes,Not Started,306,414,267,11,78.1,67.0,6.54,0,38,2,0,1,3.0,4,679,50.41,72.58,Good
STU0088,CSE-DS,3,Female,Day Scholar,Night,Visual,Average,Medium,Good,No,Yes,Not Started,139,64,257,243,75.7,71.9,7.4,0,34,1,2,1,0.0,97,956,69.5,76.0,Good
STU0089,IT,7,Male,Day Scholar,Afternoon,Visual,Average,Medium,Average,No,No,Placed,227,286,227,296,59.2,64.5,6.16,4,23,7,2,0,4.0,159,973,79.46,58.97,Average
STU0090,CSE-AIML,1,Male,Day Scholar,Night,Auditory,Average,High,Average,No,Yes,Not Started,179,339,120,412,82.2,65.7,7.0,0,35,2,2,0,0.0,125,1177,66.89,76.78,Good
STU0091,CSE,7,Male,Day Scholar,Morning,Auditory,Poor,High,Good,No,Yes,Placed,132,153,174,339,79.9,66.3,6.85,0,31,6,1,1,7.0,268,970,64.0,76.82,Good
STU0092,CSE-DS,4,Female,Day Scholar,Night,Visual,Good,Low,Good,No,Yes,Not Started,95,0,11,289,80.8,65.4,6.78,0,30,5,2,0,0.0,81,1232,81.48,77.85,Good
STU0093,IT,1,Female,Hostel,Morning,Auditory,Good,Low,Average,No,No,Not Started,151,275,116,355,97.9,67.8,7.14,0,32,1,0,0,0.0,32,1211,75.69,82.08,Good
STU0094,CSE-AIML,2,Female,Hostel,Morning,Auditory,Average,Medium,,Yes,Yes,Not Started,136,339,0,97,78.0,65.6,6.55,0,33,1,0,0,0.0,76,1384,57.42,71.45,Good
STU0095,IT,8,Male,Hostel,Night,Visual,Average,Low,Good,No,No,Placed,166,417,60,196,79.2,68.0,6.85,0,31,10,3,5,4.0,168,921,79.21,74.29,Good
STU0096,CSE-AIML,2,Other,Hostel,Night,Kinesthetic,Average,Medium,Good,Yes,Yes,Not Started,364,44,174,464,67.2,62.1,6.67,1,29,2,0,0,2.0,112,942,80.29,70.88,Good
STU0097,CSE-AIML,3,Male,Day Scholar,Morning,Visual,Average,Low,Good,Yes,No,Not Started,171,207,219,212,87.7,71.0,7.39,0,35,3,0,0,1.0,75,1358,76.12,80.77,Good
STU0098,CSE-AIML,4,Male,Hostel,Morning,Visual,Average,Medium,Good,No,No,Not Started,68,504,26,247,76.4,62.9,6.27,1,29,2,4,0,3.0,77,1333,62.17,70.03,Good
STU0099,CSE,5,Other,Hostel,Night,Auditory,Average,Low,Average,No,Yes,Not Started,161,270,39,404,100.0,74.1,7.16,0,39,4,2,1,4.0,212,1204,86.12,86.29,Excellent
STU0100,CSE,4,Male,Hostel,Night,Visual,Poor,High,Average,No,Yes,Not Started,284,275,158,148,91.0,79.2,7.06,0,34,4,2,1,0.0,106,1132,58.97,76.99,Good
STU0101,CSE,2,Female,Hostel,Afternoon,Visual,Good,Medium,Average,No,Yes,Not Started,363,310,0,203,100.0,85.4,8.66,0,42,1,0,0,1.0,116,1076,85.27,89.8,Excellent
STU0102,CSE-DS,5,Male,Hostel,Night,Auditory,Good,Low,Good,No,Yes,Not Started,58,243,263,0,77.2,60.2,5.92,0,28,2,0,2,4.0,7,1272,66.59,77.78,Good
STU0103,CSE,4,Female,Hostel,Morning,Auditory,Average,High,Poor,No,No,Not Started,183,206,29,516,76.8,72.0,7.39,0,37,4,0,0,2.0,201,995,62.52,76.58,Good
STU0104,CSE-AIML,8,Female,Hostel,Night,Kinesthetic,Average,Medium,Poor,No,Yes,Placed,212,216,102,550,92.6,72.9,6.78,0,35,12,1,2,2.0,381,1282,91.54,87.86,Excellent
STU0105,ECE,8,Male,Day Scholar,Morning,Visual,Average,Medium,Average,No,No,Placed,270,413,184,487,86.0,82.4,8.83,0,44,8,5,3,2.0,472,1241,88.75,92.18,Excellent
STU0106,CSE,4,Female,Hostel,Afternoon,Kinesthetic,Good,Low,Average,No,Yes,Not Started,164,330,97,334,93.1,77.0,8.27,0,41,1,0,4,3.0,71,977,80.32,86.4,Excellent
STU0107,CSE-AIML,5,Male,Day Scholar,Morning,Kinesthetic,Poor,High,Average,No,Yes,Not Started,180,284,81,64,86.9,72.0,7.57,0,36,4,2,0,5.0,5,841,57.84,81.87,Good
STU0108,IT,2,Female,Day Scholar,Afternoon,Kinesthetic,Average,Medium,Good,No,Yes,Not Started,142,12,165,203,79.4,67.0,6.84,0,29,2,2,0,1.0,40,884,66.64,71.08,Good
STU0109,CSE,4,Male,Day Scholar,Afternoon,Kinesthetic,Good,Low,Good,No,Yes,Not Started,62,177,66,123,83.5,63.4,5.96,1,32,1,1,1,2.0,0,822,69.2,70.52,Good
STU0110,CSE,5,Male,Day Scholar,Afternoon,Visual,Good,High,Good,No,Yes,Not Started,265,493,146,138,74.5,68.8,8.0,1,29,4,1,3,2.0,101,1090,78.82,74.53,Good
STU0111,CSE,6,Male,Hostel,Morning,Visual,Good,Low,Average,No,No,Not Started,94,144,115,222,62.4,52.9,5.77,1,25,4,3,1,1.0,133,949,77.07,63.45,Average
STU0112,CSE,8,Male,Hostel,Afternoon,Visual,Poor,High,Good,No,Yes,In Progress,38,249,0,213,86.8,68.1,6.8,0,37,4,2,1,4.0,166,1021,59.09,80.61,Good
STU0113,ECE,6,Female,Hostel,Night,Kinesthetic,Poor,Medium,Good,No,No,Not Started,137,228,242,513,95.3,69.1,6.29,3,32,5,2,0,1.0,273,1261,64.83,75.94,Good
STU0114,IT,2,Male,Hostel,Afternoon,Auditory,Average,High,Good,No,No,Not Started,28,66,81,307,77.7,64.7,6.43,1,29,2,0,0,1.0,72,996,53.29,70.51,Good
STU0115,CSE-DS,5,Male,Day Scholar,Night,Visual,Poor,Medium,Average,No,No,Not Started,143,126,164,568,76.5,62.8,6.21,0,35,7,2,1,2.0,281,1123,73.39,73.75,Good
STU0116,IT,6,Male,Day Scholar,Afternoon,Kinesthetic,Poor,High,Good,No,No,In Progress,138,49,36,154,82.8,71.2,7.45,1,35,4,3,0,3.0,94,1001,46.19,77.81,Good
STU0117,IT,5,Male,Hostel,Afternoon,Kinesthetic,Poor,High,Good,No,No,Not Started,171,36,0,373,83.3,73.3,7.24,0,37,7,1,0,1.0,222,1229,66.45,80.11,Good
STU0118,CSE,4,Female,Hostel,Night,Kinesthetic,Poor,High,Poor,Yes,Yes,Not Started,137,297,225,253,94.9,74.8,6.41,4,37,4,0,0,4.0,109,1387,49.3,69.34,Average
STU0119,IT,2,Female,Hostel,Night,Kinesthetic,Average,Medium,Poor,No,Yes,Not Started,185,147,118,399,89.5,74.2,6.94,2,40,2,1,0,1.0,22,996,71.22,83.06,Good
STU0120,CSE-AIML,6,Male,Day Scholar,Morning,Kinesthetic,Poor,High,Poor,No,No,Not Started,348,464,136,467,71.4,61.6,6.65,0,33,4,3,2,1.0,251,895,58.63,74.79,Good
STU0121,IT,7,Female,Day Scholar,Morning,Kinesthetic,Good,Medium,Poor,No,Yes,In Progress,0,337,123,526,65.6,60.1,5.58,2,34,3,1,2,5.0,422,959,68.88,70.58,Good
STU0122,IT,4,Female,Day Scholar,Night,Visual,Average,Low,Average,No,No,Not Started,317,234,330,228,83.8,72.1,6.7,0,36,0,0,0,1.0,152,1216,70.63,78.13,Good
STU0123,CSE,8,Male,Day Scholar,Night,Auditory,Poor,High,Average,No,Yes,Placed,50,334,195,298,97.5,70.2,7.34,0,37,3,2,2,3.0,249,1326,54.94,84.14,Good
STU0124,CSE,7,Female,Hostel,Night,Visual,Average,Medium,Average,No,No,In Progress,220,0,183,485,98.4,74.7,7.54,1,34,5,6,0,3.0,335,1243,85.2,80.41,Good
STU0125,CSE,7,Male,Hostel,Afternoon,Visual,Average,Low,Good,Yes,No,In Progress,294,227,60,677,58.9,63.3,5.76,4,32,5,3,0,4.0,472,1201,93.62,57.24,Average
STU0126,CSE-AIML,1,Female,Hostel,Afternoon,Kinesthetic,Good,Medium,Good,No,No,Not Started,162,367,101,316,88.2,69.0,7.4,0,29,2,1,0,0.0,45,1251,70.8,83.15,Good
STU0127,IT,1,Female,Hostel,Night,Visual,Average,Medium,Average,No,No,Not Started,198,81,119,263,82.6,72.9,6.82,0,37,1,0,0,1.0,4,897,62.08,77.63,Good
STU0128,IT,2,Male,Day Scholar,Night,Auditory,Good,Medium,Average,Yes,Yes,Not Started,246,323,179,278,59.2,71.3,7.31,0,33,1,0,0,1.0,57,1157,76.56,69.96,Average
STU0129,CSE,6,Female,Hostel,Night,Auditory,Average,Medium,Good,No,Yes,Not Started,274,270,90,0,91.0,76.0,8.08,0,39,7,1,2,7.0,0,573,77.91,88.9,Excellent
STU0130,CSE-AIML,6,Female,Day Scholar,Night,Kinesthetic,Good,Low,Good,Yes,No,Not Started,74,51,84,363,100.0,82.6,8.17,0,43,3,1,1,8.0,213,1253,78.04,88.11,Excellent
STU0131,CSE-AIML,6,Male,Hostel,Night,Auditory,Average,Medium,Good,No,No,In Progress,217,429,199,172,89.7,70.6,7.24,1,31,5,2,1,1.0,118,768,69.51,81.18,Good
STU0132,CSE,5,Female,Hostel,Afternoon,Kinesthetic,Good,High,Good,No,No,Not Started,174,377,278,75,100.0,82.6,7.47,0,40,3,3,1,6.0,0,508,60.89,83.29,Good
STU0133,CSE,4,Male,Hostel,Afternoon,Auditory,Average,Medium,Good,Yes,No,Not Started,224,314,0,413,87.3,69.5,7.37,0,32,3,0,1,1.0,142,1085,73.35,76.32,Good
STU0134,CSE,6,Other,Hostel,Night,Auditory,Average,Medium,Good,No,Yes,Not Started,224,77,205,284,79.4,70.7,7.02,0,40,4,3,1,3.0,135,1181,76.3,79.09,Good
STU0135,ECE,4,Female,Day Scholar,Afternoon,Visual,Good,Low,Good,No,No,Not Started,174,137,92,474,86.9,68.4,7.47,0,30,2,1,0,0.0,141,753,87.37,83.41,Good
STU0136,CSE,2,Male,Hostel,Afternoon,Auditory,Good,Low,Good,No,No,Not Started,180,225,179,293,70.8,65.7,5.85,0,31,1,1,0,1.0,36,867,80.9,72.75,Good
