department,semester,gender,hostel_or_dayscholar,study_time_preference,learning_style,sleep_quality,stress_level,internet_access_quality,part_time_job,mentor_support,placement_status,study_minutes_per_day,material_prep_minutes_per_week,extracurricular_minutes_per_week,skill_dev_minutes_per_week,attendance_percentage,previous_year_score,previous_semester_gpa,backlogs_count,internal_marks,projects_completed,hackathons_participated,internships_completed,certifications_count,coding_problems_solved,coding_platform_rating
CSE,8,Male,Day Scholar,Afternoon,Kinesthetic,Average,Medium,Good,Yes,No,In Progress,159,208,0,108,96.9,78.9,7.72,0,37,7,5,3,5.0,100,776
CSE,2,Other,Day Scholar,Night,Visual,Poor,Medium,Good,No,No,Not Started,120,350,137,160,76.5,67.3,7.06,0,35,1,0,0,0.0,0,1132
CSE,7,Female,Hostel,Night,Visual,Average,Medium,Good,No,No,In Progress,283,408,100,280,100.0,81.6,8.5,0,38,0,2,1,2.0,181,1157
CSE,2,Female,Hostel,Afternoon,Visual,Average,Medium,Good,Yes,Yes,Not Started,247,427,123,254,90.0,71.5,7.79,0,31,2,0,0,1.0,64,968
CSE-AIML,2,Female,Hostel,Afternoon,Visual,Poor,Medium,Average,No,Yes,Not Started,160,297,51,86,97.5,72.5,7.18,2,33,1,2,0,1.0,0,849
CSE,3,Male,Day Scholar,Afternoon,Auditory,Poor,Medium,Good,No,Yes,Not Started,211,192,228,431,75.1,68.1,6.5,0,34,1,2,1,1.0,165,1272
CSE,3,Male,Hostel,,Visual,Poor,High,Good,No,No,Not Started,353,84,74,373,82.9,74.4,7.14,0,38,3,0,0,2.0,137,1076
CSE,4,Male,Hostel,Night,Auditory,Good,Medium,Good,No,No,Not Started,324,180,120,0,75.1,67.9,6.9,0,31,5,1,1,3.0,17,753
IT,8,Female,Hostel,Morning,Kinesthetic,Average,High,Good,No,No,Placed,212,132,114,238,84.2,75.5,7.62,1,38,4,1,1,4.0,226,1133
CSE-DS,7,Female,Hostel,Morning,Visual,Good,Medium,Good,No,No,Placed,229,361,146,408,100.0,73.2,7.24,0,40,8,2,1,2.0,301,1162
CSE-DS,5,Male,Day Scholar,Night,Visual,Average,Medium,Good,No,No,Not Started,136,404,80,203,77.5,71.3,7.33,1,34,3,2,0,0.0,97,1114
CSE-DS,2,Female,Hostel,Morning,Auditory,Average,Medium,Good,No,No,Not Started,231,253,97,453,100.0,79.4,7.63,0,39,2,1,0,0.0,87,1171
IT,2,Female,Day Scholar,Afternoon,Visual,Average,Medium,Good,No,Yes,Not Started,76,185,166,447,74.1,60.2,6.06,1,32,1,0,0,0.0,18,1230
CSE-DS,5,Male,Day Scholar,Afternoon,Kinesthetic,Average,Low,Average,No,No,Not Started,273,362,121,279,89.8,75.1,7.36,1,37,3,3,1,4.0,209,1127
IT,2,Female,Hostel,Morning,Visual,Average,Medium,Good,No,Yes,Not Started,179,284,72,242,88.1,74.8,8.64,0,36,0,0,0,1.0,17,1162
CSE,7,Male,Hostel,Night,Auditory,Average,Low,Poor,No,Yes,In Progress,83,376,273,525,89.2,68.1,7.05,0,32,4,3,5,5.0,307,1095
IT,7,Male,Day Scholar,Night,Visual,Good,Low,Good,No,Yes,In Progress,229,243,304,256,100.0,85.0,8.87,0,44,8,0,2,5.0,231,1121
ECE,7,Female,Hostel,Morning,Auditory,Good,Low,Average,No,No,In Progress,202,136,0,224,68.0,70.1,6.67,0,38,8,0,3,3.0,256,948
IT,4,Male,Hostel,Morning,Visual,Good,Low,Average,No,Yes,Not Started,197,163,0,0,98.3,68.4,7.4,0,34,4,0,0,4.0,0,1068
IT,2,Male,Hostel,Night,Auditory,Average,Medium,Poor,No,Yes,Not Started,325,77,141,233,72.7,71.9,6.78,1,36,2,0,0,3.0,24,935
CSE,7,Male,Day Scholar,Morning,Auditory,Average,High,Good,No,Yes,Placed,183,268,139,243,100.0,81.2,8.38,0,41,3,2,3,6.0,126,1087
CSE-AIML,8,Female,Hostel,Morning,Visual,Poor,High,Good,No,Yes,In Progress,251,211,0,489,71.2,53.5,5.39,0,26,9,2,3,7.0,357,997
CSE,2,Male,Hostel,Night,Auditory,Good,Medium,Good,No,No,Not Started,94,129,124,529,77.8,66.8,6.24,0,35,2,1,0,0.0,218,1083
IT,4,Male,Hostel,Night,Visual,Poor,High,Good,Yes,No,Not Started,70,453,248,383,76.2,60.1,6.05,5,25,5,3,1,4.0,162,833
CSE-DS,2,Male,Day Scholar,Morning,Auditory,Good,Low,Good,No,Yes,Not Started,314,444,192,626,72.5,68.5,7.02,0,34,4,0,0,0.0,67,1047
CSE-DS,5,Female,Hostel,Afternoon,Auditory,Average,Medium,Poor,No,Yes,Not Started,127,355,60,135,79.9,66.5,6.92,0,31,3,4,1,4.0,148,793
CSE-AIML,5,Female,Hostel,Night,Kinesthetic,Poor,Medium,Average,No,No,Not Started,192,343,253,395,87.1,68.9,6.81,0,36,3,0,2,1.0,236,1130
CSE,7,Other,Hostel,Afternoon,Kinesthetic,Poor,High,Good,Yes,Yes,Placed,24,313,257,381,66.0,65.9,6.64,0,39,1,3,2,3.0,220,1104
ECE,4,Male,Day Scholar,Morning,Visual,Poor,High,Average,No,No,Not Started,218,224,415,318,72.2,67.5,5.59,1,27,5,1,1,1.0,82,1095
IT,4,Female,Hostel,Night,Kinesthetic,Average,Medium,Poor,No,No,Not Started,179,155,198,494,73.3,66.1,7.35,0,35,3,0,2,0.0,244,1069
ECE,3,Male,Day Scholar,Night,Auditory,Poor,Medium,Good,No,No,Not Started,230,116,43,518,91.1,77.8,8.2,0,40,5,1,0,2.0,125,1137
IT,3,Male,Day Scholar,Afternoon,Auditory,Average,Low,Good,No,No,Not Started,131,288,286,332,100.0,68.7,6.19,4,38,2,0,0,1.0,111,1044
IT,6,Male,Hostel,Night,Auditory,Average,Medium,Average,No,No,In Progress,186,249,151,657,85.1,77.2,6.59,2,40,3,3,2,2.0,375,1155
CSE-AIML,6,Male,Hostel,Morning,Kinesthetic,Good,Medium,Good,Yes,Yes,Not Started,114,175,116,113,90.8,64.9,7.15,0,33,4,1,1,3.0,54,1086
CSE-AIML,7,Male,Day Scholar,Night,Auditory,Good,Medium,Good,No,No,In Progress,236,293,165,274,82.5,76.3,6.94,0,44,7,1,1,4.0,262,1387
CSE-AIML,5,Male,Hostel,Morning,Kinesthetic,Poor,Medium,Good,No,No,Not Started,212,47,152,56,76.4,63.3,5.93,1,33,7,3,2,3.0,0,921
CSE,2,Female,Hostel,Night,Kinesthetic,Average,Medium,Good,Yes,No,Not Started,71,300,0,249,91.2,71.0,7.16,0,36,0,0,0,1.0,62,875
CSE,2,Female,Day Scholar,Night,Kinesthetic,Average,Medium,Average,No,No,Not Started,148,264,166,374,99.6,71.0,7.44,0,38,0,0,0,2.0,145,1042
ECE,8,Male,Hostel,Morning,Auditory,Good,Medium,Average,No,No,Placed,59,275,221,347,90.7,64.7,8.12,0,31,12,2,0,2.0,275,1364
ECE,8,Male,Hostel,Afternoon,Auditory,Average,High,Good,Yes,Yes,In Progress,152,139,27,440,94.1,76.5,7.37,0,33,6,0,3,1.0,375,1339
ECE,5,Male,Hostel,Night,Visual,Good,Low,Average,Yes,No,Not Started,238,392,203,334,83.4,77.3,7.28,0,39,2,1,1,1.0,154,1021
ECE,5,Female,Day Scholar,Night,Visual,Good,High,Average,Yes,Yes,Not Started,205,323,130,243,68.5,66.1,6.16,2,40,3,1,1,3.0,125,1346
CSE,1,Male,Hostel,Afternoon,Auditory,Poor,Medium,Good,No,No,Not Started,177,435,53,314,85.8,71.6,7.95,1,34,1,0,0,0.0,76,1044
CSE,8,Male,Hostel,Night,Kinesthetic,Average,Low,Good,No,No,Placed,130,218,0,202,76.8,61.6,6.74,1,25,7,0,2,1.0,115,1068
CSE-DS,2,Female,Hostel,Morning,Kinesthetic,Good,Low,Good,No,Yes,Not Started,120,164,92,400,83.2,67.2,6.41,1,33,1,0,0,1.0,64,1067
CSE-AIML,2,Female,Day Scholar,Night,Auditory,Average,Medium,Good,No,Yes,Not Started,307,295,42,37,79.5,81.3,8.78,0,37,1,0,0,3.0,73,951
CSE,3,Female,Hostel,Night,Visual,Good,Medium,Good,No,No,Not Started,121,226,61,162,79.3,72.6,7.36,0,39,2,1,0,0.0,52,802
CSE-AIML,4,Male,Hostel,Night,Visual,Average,Medium,,No,No,Not Started,219,200,246,405,73.7,67.6,6.75,0,40,4,1,0,1.0,211,1246
CSE-DS,8,Female,Day Scholar,Morning,Visual,Average,Medium,Average,No,Yes,Placed,329,201,0,119,99.1,81.8,8.2,0,43,10,4,3,6.0,36,1107
IT,7,Female,Day Scholar,Night,Visual,Poor,Medium,Poor,No,Yes,Placed,0,190,25,67,100.0,66.4,7.05,0,33,10,0,2,2.0,17,899
CSE-DS,4,Male,Hostel,Afternoon,Kinesthetic,Average,Medium,Good,No,No,Not Started,117,202,48,296,75.5,69.7,7.84,0,33,3,2,0,3.0,20,873
CSE-DS,2,Male,Hostel,Night,Auditory,Poor,High,Good,No,Yes,Not Started,194,74,0,42,62.7,71.0,7.33,0,39,2,0,0,0.0,0,934
IT,3,Male,Hostel,Night,Kinesthetic,Good,Low,Good,No,No,Not Started,345,327,3,266,86.3,82.9,8.97,0,48,1,1,1,1.0,78,905
CSE,5,Female,Hostel,Night,Auditory,Good,Low,Poor,No,No,Not Started,249,100,172,101,92.6,77.6,7.97,0,39,4,3,1,3.0,0,841
CSE,7,Female,Day Scholar,Night,Kinesthetic,Good,Medium,Average,No,No,In Progress,276,305,147,296,57.0,53.7,5.08,1,27,2,4,3,3.0,276,978
CSE-AIML,7,Male,Hostel,Morning,Kinesthetic,Poor,High,Average,No,No,In Progress,166,123,102,355,95.6,80.4,7.06,1,37,4,1,3,6.0,216,1190
CSE-DS,5,Male,Hostel,Afternoon,Auditory,Poor,High,Average,No,No,Not Started,88,214,231,424,75.4,63.6,6.44,2,30,5,1,0,2.0,236,1157
CSE,3,Female,Day Scholar,Afternoon,Kinesthetic,Average,Medium,Good,No,Yes,Not Started,181,300,29,78,88.3,68.7,6.94,1,33,1,1,0,,0,981
IT,5,Male,Hostel,Night,Kinesthetic,Poor,Medium,Good,No,No,Not Started,290,156,143,240,89.5,81.0,8.2,0,41,6,1,1,5.0,121,1090
CSE-DS,4,Female,Day Scholar,Morning,Kinesthetic,Good,Low,Average,No,Yes,Not Started,187,308,119,179,78.3,62.7,6.13,0,36,1,1,0,2.0,119,867
CSE-AIML,8,Male,Day Scholar,Night,Visual,Good,Low,Good,No,Yes,Placed,14,265,202,609,96.0,66.6,6.52,0,34,6,0,3,5.0,547,1452
IT,3,Male,Day Scholar,Morning,Kinesthetic,Average,High,Average,No,Yes,Not Started,128,298,215,225,79.6,71.8,6.13,1,37,2,1,0,2.0,97,1304
CSE-DS,2,Female,Hostel,Night,Auditory,Good,Medium,Average,Yes,Yes,Not Started,143,220,9,437,96.3,71.3,7.42,0,41,4,0,0,0.0,26,1216
CSE-AIML,7,Male,Hostel,Night,Visual,Average,Medium,Good,No,Yes,In Progress,154,201,162,564,52.6,62.9,6.05,1,34,1,3,4,3.0,300,1033
CSE-AIML,5,Male,Day Scholar,Night,Auditory,Average,Low,Good,No,Yes,Not Started,93,396,348,184,90.4,68.1,6.58,0,35,2,0,1,1.0,107,854
IT,8,Male,Hostel,Morning,Auditory,Good,Medium,Good,No,No,Placed,153,317,103,225,81.2,72.6,7.93,0,35,5,3,1,9.0,244,893
IT,1,Male,Hostel,Afternoon,Visual,Good,Low,Good,No,Yes,Not Started,274,180,107,507,86.1,74.8,6.91,0,36,0,0,0,1.0,146,1069
CSE,6,Female,Hostel,Night,Visual,Average,Medium,Good,No,No,In Progress,68,405,0,229,67.3,63.4,7.18,0,33,4,3,0,1.0,150,1251
CSE,1,Male,Hostel,Night,Kinesthetic,Good,Medium,Good,No,No,Not Started,356,228,177,0,63.0,70.8,6.92,0,38,4,1,0,0.0,104,893
CSE-AIML,4,Female,Day Scholar,Night,Kinesthetic,Good,Medium,Good,No,No,Not Started,229,233,152,502,76.4,75.0,7.56,0,39,5,0,0,2.0,237,935
CSE-AIML,7,Female,Hostel,Night,Auditory,Average,Low,Good,No,Yes,Placed,179,140,66,397,100.0,86.6,8.57,0,46,8,2,0,2.0,244,1112
CSE,6,Male,Hostel,Night,Auditory,Good,Medium,Average,Yes,Yes,Not Started,323,252,0,363,99.2,79.3,7.12,1,41,7,2,0,5.0,203,1120
CSE,8,Female,Day Scholar,Morning,Auditory,Poor,High,Good,No,No,Placed,56,170,32,223,70.0,61.5,5.28,1,31,12,0,2,4.0,78,868
CSE,6,Male,Hostel,Morning,Auditory,Average,Low,Good,No,No,In Progress,146,263,55,254,83.2,68.7,6.76,0,35,3,2,1,4.0,181,988
CSE,8,Female,Day Scholar,Night,Kinesthetic,Average,Medium,Good,No,No,Placed,149,276,95,124,76.8,64.2,5.71,3,29,7,1,0,5.0,107,821
ECE,4,Male,Hostel,Morning,Visual,Average,Medium,Average,No,Yes,Not Started,71,263,37,342,90.8,69.3,7.22,2,32,6,1,0,2.0,128,1080
CSE-AIML,5,Male,Hostel,Morning,Auditory,Good,Low,Average,No,No,Not Started,255,162,53,758,75.5,69.8,6.98,0,34,5,1,2,2.0,444,1194
CSE-DS,8,Male,Hostel,Afternoon,Visual,Average,Low,Good,No,No,Placed,349,169,64,683,91.4,84.6,9.07,0,39,5,3,0,5.0,573,1463
CSE,7,Female,Hostel,Afternoon,Visual,Average,Medium,Average,No,Yes,In Progress,65,194,78,87,63.7,63.7,6.85,0,31,4,1,1,7.0,57,714
CSE,8,Female,Hostel,Afternoon,Visual,Poor,Low,Average,No,No,Placed,81,206,67,627,78.7,65.0,6.71,0,33,12,1,0,7.0,404,1365
CSE-AIML,6,Female,Hostel,Night,Visual,Poor,Medium,,No,No,Not Started,273,322,159,341,67.0,69.6,6.07,4,38,1,3,4,0.0,219,1205
CSE,1,Male,Day Scholar,Morning,Visual,Average,Medium,Good,No,Yes,Not Started,170,189,0,403,72.6,64.8,6.28,1,32,2,0,0,0.0,64,876
IT,5,Male,Day Scholar,Morning,Kinesthetic,Average,Medium,Good,Yes,No,Not Started,106,67,160,325,74.0,65.1,6.73,0,36,2,0,2,2.0,184,966
CSE-DS,8,Female,Hostel,,Visual,Average,Low,Poor,No,No,Placed,313,196,156,400,71.7,70.5,6.53,0,38,5,2,1,4.0,329,1295
CSE-AIML,7,Female,Hostel,Morning,Auditory,Average,Medium,Good,Yes,Yes,Placed,209,220,99,206,82.7,73.5,7.48,0,37,4,3,1,2.0,120,1274
CSE,3,Female,Day Scholar,Night,Auditory,Average,Medium,Poor,Yes,No,Not Started,220,389,129,226,87.1,71.9,6.28,5,42,2,1,0,1.0,104,733
CSE,3,Male,Hostel,Morning,Kinesthetic,Good,Medium,Average,No,Yes,Not Started,111,270,0,450,90.4,68.2,7.05,1,31,3,3,0,2.0,117,665
CSE,8,Male,Hostel,Morning,Kinesthetic,Average,Low,Good,No,No,Placed,268,263,175,451,100.0,76.2,7.34,0,39,8,4,0,2.0,391,1331
CSE-DS,4,Male,Day Scholar,Afternoon,Kinesthetic,Average,Low,Good,No,Yes,Not Started,209,393,408,103,70.4,69.0,6.71,0,34,5,0,0,3.0,19,975
IT,5,Female,Hostel,Night,Visual,Average,Medium,Good,Yes,No,Not Started,164,0,112,240,80.8,66.7,6.5,1,36,2,1,1,1.0,161,1032
CSE,7,Male,Hostel,Afternoon,Kinesthetic,Poor,High,Average,No,No,In Progress,307,258,117,405,95.2,75.1,8.22,0,38,4,3,0,6.0,202,982
CSE-AIML,8,Female,Day Scholar,Afternoon,Auditory,Poor,Medium,Good,No,No,Placed,306,236,0,206,75.2,80.6,8.14,0,42,4,1,3,1.0,186,1272
CSE-AIML,8,Female,Hostel,Night,Kinesthetic,Good,Low,Average,No,No,Placed,249,278,8,0,75.0,69.7,7.13,2,35,4,2,1,6.0,0,1114
ECE,1,Male,Hostel,Night,Kinesthetic,Poor,Medium,Average,No,No,Not Started,140,238,195,226,73.7,60.2,6.48,1,33,1,0,0,1.0,61,1046
ECE,7,Female,Day Scholar,Night,Visual,Average,Medium,Good,Yes,No,Placed,327,161,104,254,71.5,72.4,6.83,0,42,7,1,4,3.0,230,1131
CSE,6,Male,Hostel,Morning,Visual,Average,Medium,Average,No,No,Not Started,345,212,2,564,100.0,85.6,8.5,0,40,5,3,0,2.0,305,1257
CSE,2,Male,Day Scholar,Morning,Auditory,Average,Low,Good,No,Yes,Not Started,41,0,156,524,81.3,68.2,6.82,0,32,1,3,0,1.0,63,977
CSE-DS,1,Male,Day Scholar,Night,Kinesthetic,Good,Medium,Good,No,Yes,Not Started,290,199,192,456,76.2,68.5,7.38,0,38,0,0,0,0.0,0,772
CSE-DS,7,Male,Hostel,Night,Visual,Average,Low,Good,No,No,Placed,163,259,0,345,73.1,63.4,6.41,0,33,5,1,0,2.0,308,1284
CSE-DS,8,Male,Hostel,Night,Auditory,Average,Medium,Good,No,No,Placed,207,340,199,252,68.2,67.2,6.85,0,29,4,2,0,3.0,274,1094
CSE,5,Male,Hostel,Afternoon,Auditory,Poor,Low,Good,No,No,Not Started,258,163,114,247,88.1,70.7,8.08,0,39,6,1,0,1.0,122,1113
IT,8,Male,Hostel,Night,Auditory,Poor,Medium,Average,No,Yes,Placed,141,140,115,440,82.3,78.8,8.19,0,39,6,2,0,4.0,375,1152
CSE,8,Female,Day Scholar,Night,Auditory,Good,Low,Poor,No,No,Placed,200,94,85,121,86.9,70.8,6.35,0,32,8,4,2,5.0,106,1197
CSE-AIML,4,Male,Hostel,Night,Kinesthetic,Poor,Low,Average,Yes,No,Not Started,0,286,85,504,86.4,73.2,6.49,2,37,2,2,0,1.0,223,1046
ECE,7,Male,Hostel,Night,Kinesthetic,Poor,Low,Good,No,Yes,In Progress,239,609,126,285,83.7,67.6,6.47,2,35,1,1,0,1.0,175,1182
CSE-DS,7,Female,Hostel,Night,Visual,Average,Medium,Good,Yes,Yes,In Progress,111,523,240,697,80.0,69.0,7.07,0,37,5,4,2,1.0,392,949
CSE,1,Male,Hostel,Morning,Auditory,Average,Medium,Good,No,Yes,Not Started,130,350,40,326,90.5,74.2,8.18,0,36,2,0,0,0.0,69,808
CSE-AIML,7,Female,Hostel,Afternoon,Visual,Good,Low,Good,No,No,In Progress,289,121,36,306,87.3,70.5,7.67,0,31,7,4,0,4.0,232,1421
CSE-DS,2,Other,Day Scholar,Night,Kinesthetic,Average,Medium,Average,Yes,No,Not Started,115,259,214,422,78.2,69.5,6.53,0,34,1,0,0,1.0,53,1011
CSE,5,Male,Hostel,Afternoon,Kinesthetic,Good,Medium,Average,No,No,Not Started,241,302,176,625,72.3,73.9,6.98,2,38,1,2,3,5.0,329,1113
IT,3,Male,Hostel,Morning,Kinesthetic,Good,Low,Average,No,Yes,Not Started,254,332,225,145,86.0,79.5,9.16,0,38,0,1,2,4.0,48,930
ECE,7,Male,Hostel,Night,Auditory,Average,Medium,Good,No,No,Placed,177,109,234,138,75.2,72.4,7.42,0,41,6,4,3,5.0,207,915
CSE-DS,6,Female,Day Scholar,Night,Visual,Good,Medium,Good,Yes,Yes,Not Started,198,62,99,345,76.3,76.2,7.95,0,41,3,0,0,1.0,229,1093
CSE-AIML,5,Female,Hostel,Afternoon,Visual,Poor,High,Good,No,No,Not Started,135,222,6,27,89.5,69.2,7.47,0,34,3,3,0,2.0,2,1266
CSE,1,Male,Day Scholar,Afternoon,Visual,Average,High,Good,No,No,Not Started,277,301,0,344,80.1,72.5,7.45,0,32,0,0,0,0.0,39,934
ECE,7,Female,Hostel,Night,Auditory,Poor,High,Good,Yes,No,In Progress,163,372,46,185,66.4,65.7,6.9,0,35,2,1,1,2.0,223,940
CSE-AIML,1,Male,Hostel,Night,Kinesthetic,Average,Medium,Average,No,Yes,Not Started,132,360,176,451,82.9,67.0,6.21,2,32,2,1,0,2.0,40,902
CSE,1,Female,Hostel,Morning,Kinesthetic,Good,High,Poor,No,No,Not Started,207,274,93,224,95.8,80.3,8.25,0,40,1,0,0,1.0,45,959
ECE,6,Male,Hostel,Night,Visual,Average,Medium,Good,No,Yes,In Progress,202,425,69,0,95.3,73.1,7.69,0,37,6,3,0,2.0,0,978
CSE,2,Female,Hostel,Morning,Auditory,Poor,High,Good,No,No,Not Started,119,53,42,637,100.0,86.0,8.32,0,43,2,0,0,1.0,192,1146
CSE,6,Female,Hostel,Night,Visual,Good,Low,Good,Yes,No,Not Started,4,52,0,246,80.5,61.3,6.67,0,31,7,1,0,3.0,111,1098
CSE,4,Male,Hostel,Afternoon,Visual,Poor,Medium,Good,No,Yes,Not Started,313,321,45,488,74.7,73.5,7.76,0,38,4,0,0,5.0,142,1367
CSE,2,Female,Hostel,Morning,Auditory,Average,Medium,Good,No,No,Not Started,92,340,64,467,99.4,67.6,6.65,0,31,0,1,0,2.0,100,831
CSE-AIML,2,Male,Day Scholar,Morning,Auditory,Good,Low,,Yes,Yes,Not Started,244,118,0,211,100.0,75.2,7.29,0,37,1,0,0,1.0,44,1017
ECE,6,Female,Day Scholar,Night,Auditory,Average,Medium,Good,No,Yes,Not Started,198,316,0,175,89.8,67.4,6.77,2,29,5,1,3,6.0,85,1230
CSE,5,Female,Hostel,Morning,Kinesthetic,Average,Medium,Good,Yes,No,Not Started,29,202,18,440,84.4,67.2,5.69,3,33,2,1,1,1.0,219,863
CSE,2,Female,Hostel,Night,Auditory,Good,Low,Good,No,Yes,Not Started,312,196,185,260,75.6,68.9,7.52,1,37,2,0,0,2.0,162,1110
CSE,5,Male,Hostel,Night,Kinesthetic,Average,Low,,No,No,Not Started,103,0,103,0,100.0,75.9,7.14,0,34,3,1,0,3.0,0,1147
CSE-DS,8,Male,Hostel,Night,Auditory,Good,Low,Poor,Yes,Yes,Placed,0,120,166,250,89.7,70.3,6.48,3,32,6,3,2,0.0,235,943
CSE,4,Male,Hostel,Afternoon,Auditory,Average,Medium,Average,No,No,Not Started,186,243,165,614,82.4,70.5,7.72,0,36,4,1,0,4.0,239,1043
CSE-AIML,5,Male,Hostel,Night,Visual,Average,Low,Average,No,No,Not Started,356,333,212,260,64.3,70.6,7.29,0,36,7,4,1,2.0,115,1014
CSE,6,Male,Hostel,Night,Auditory,Good,Low,Good,No,No,In Progress,219,221,264,410,94.9,75.8,7.25,2,35,8,4,3,5.0,255,1079
ECE,5,Male,Day Scholar,Night,Visual,Average,High,Average,No,No,Not Started,169,202,209,160,98.4,80.0,8.39,0,38,2,2,0,1.0,145,1057
CSE,1,Male,Hostel,Night,Kinesthetic,Good,Low,Good,No,Yes,Not Started,155,214,82,108,88.4,78.2,7.86,0,40,1,0,0,1.0,22,1150
IT,4,Female,Hostel,Morning,Auditory,Average,Medium,Good,No,No,Not Started,88,451,172,246,74.7,65.6,7.38,0,26,5,0,0,1.0,105,1249
CSE,3,Female,Hostel,Morning,Auditory,Good,Medium,Good,No,No,Not Started,146,337,244,234,62.7,64.9,6.51,0,32,4,1,1,,72,1157
CSE,1,Male,Hostel,Afternoon,Kinesthetic,Poor,Medium,Average,No,No,Not Started,363,344,323,492,99.2,83.8,7.85,1,37,1,0,0,1.0,68,1022
CSE-DS,1,Female,Day Scholar,Night,Visual,Good,Medium,Good,No,No,Not Started,314,272,70,207,57.6,64.3,6.86,0,26,0,0,0,2.0,4,878
CSE,3,Male,Hostel,Morning,Kinesthetic,Good,Medium,Average,Yes,No,Not Started,296,201,252,190,81.1,68.9,7.03,0,34,2,0,1,2.0,139,1146
CSE,6,Female,Day Scholar,Night,Visual,Poor,High,Good,No,No,In Progress,130,453,354,228,69.9,56.7,5.5,1,30,3,1,1,2.0,89,1204
CSE,3,Female,Hostel,Morning,Visual,Good,Low,Good,Yes,No,Not Started,0,124,258,0,89.1,67.3,6.12,3,32,2,0,1,2.0,0,849
CSE,1,Male,Day Scholar,Morning,Kinesthetic,Poor,Low,Average,No,Yes,Not Started,342,275,116,364,85.6,77.3,8.3,0,35,0,0,0,1.0,33,893
CSE,1,Male,Hostel,Night,Kinesthetic,Average,Medium,Average,No,No,Not Started,143,485,92,167,91.1,68.5,6.4,1,37,2,1,0,0.0,0,540
CSE,6,Male,Hostel,Night,Visual,Average,Medium,Good,No,No,Not Started,53,274,95,284,84.1,70.5,7.38,0,35,4,2,2,7.0,193,984
IT,6,Female,Hostel,Night,Auditory,Average,Medium,Average,No,Yes,Not Started,308,1,51,396,70.9,70.8,6.99,0,40,8,0,2,6.0,319,1254
CSE-AIML,2,Male,Hostel,Night,Auditory,Average,High,Good,No,No,Not Started,234,383,0,549,84.4,73.9,7.86,0,36,0,0,0,0.0,170,1085
CSE-AIML,1,Female,Hostel,Night,Kinesthetic,Average,Low,,No,Yes,Not Started,170,0,201,169,72.5,61.5,6.58,0,29,1,0,0,0.0,0,997
CSE,4,Male,Day Scholar,Morning,Auditory,Good,Medium,Average,No,No,Not Started,134,412,184,128,82.9,66.5,6.49,2,35,3,2,0,4.0,150,995
CSE,4,Male,Day Scholar,Afternoon,Visual,Poor,Medium,Good,Yes,No,Not Started,298,409,178,110,72.9,67.5,6.21,1,39,6,0,0,3.0,44,920
ECE,2,Male,Hostel,Afternoon,Kinesthetic,Average,Medium,Good,No,No,Not Started,186,178,209,542,82.5,71.3,6.92,0,36,1,0,0,2.0,118,1077
